Date of Exp,Star Rating,Reviews
3/18/17,5,"We approached Inchcape by phone contact, everyone was most helpful and we were kept up to date at all times regarding the purchase and collection of our new car. Our sales person was helpful, answering any queries and questions that we asked. When we collected our car, everything was in place and we were treated and made to feel most welcome."
3/18/17,5,"This is my third new vehicle purchased from Inchcape Colchester. On every purchase we have been more than pleased with the service from start to finish. The sales staff have never pushed us into deals we do not want or are not sure about. The sales team are professional, friendly , knowledgeable and extremely helpful at all times. Nothing is too much trouble and they always provide me with an answer to a question I may have without chasing them. The other thing worth a mention is they always are available to take a call. If not they call back very shortly afterwards.
The reception team, either by personal visit or by telephone are polite and extremely helpful whenever I contact them. A good honest team always on hand to help you make a purchase and remain helpful throughout and provide excellent after care as well.
To sum up this review;
I will have no hesitation in going back to Inchcape Colchester to purchase my next car."
3/18/17,5,"The salesman was very helpful and honest. Showed me all over my choice of car and answered all my questions. Had a very good test drive too.
Sorted the paperwork effeciently and we arranged a mutual day and time for pick up. All paperwork in place just the bill to pay!!
Loved the car being wrapped up and the video, brilliant.
Car is great and I love doing it."
3/18/17,1,"I found a 2 year old Audi A3 on the Tetbury website which I was interested in. I contacted the salesman on the 12th & he said the car had just arrived at the garage; so he would take a video & send it to me & the car would be put through the workshop. The salesman contacted me on the 14th & sent me a copy of the ""approved used check"" sheet. I said I was very interested in the vehicle. He said he had 2 days holiday & we could finalise things when he came back on the 17th. I called him on the morning of the 17th to fine tune the deal i.e. Would the price include alloy wheel & tyre protection, dents/scratches insurance etc. He said he would call me back before lunch. He didn't; so I called him again, late afternoon, & was told he was busy but would call me back. He called me back at 1840 to tell me that the car had been sold. It had been sold a week earlier & should not have come to their garage & should not have appeared on their web site.
What a shambles. Are they really an Audi approved garage ? My experience was a complete disaster"
3/18/17,5,"Bought my new Tiguan at this dealership. Had been offered a great discount through carwow , so now haggling , also had some extras thrown in too.
Really great handover of our new car , which made it a special day!"
3/18/17,5,Very helpful service by the sales person who made a big effort to ensure we knew everything we needed and that we got what we wanted
3/18/17,5,"I have just bought a car from Inchcape VW Shrewsbury. All Staff were friendly and helpful. Our Salesman was patient, knowledgable and definitely 'not pushy'. He listened to our requirements and then found a car which met all those requirements. He followed this up with a phone call after our purchase to ensure we were happy with the car and enquire if we had any further questions regarding the car. I would certainly recommend this company and their staff. Well done VW Inchcape."
3/18/17,5,"After being treated with disdain by my local Glasgow Audi, I was put in touch with Cheshire Oaks Audi through an online broker. The difference was night and day. I was treated as I expected to be treated by a brand like Audi. Amy Bagley was fantastic from start to finish. I got a good deal for a great car, she helped to get the finance sorted so that when I travelled down from Glasgow to pick up the car, there were only a few things left to do before I could drive away in my new car. I received a superb level of service and will happily recommend Cheshire Oaks Audi to my friends, even though it would mean travelling down from Glasgow. It would be worth it. Thanks again to Amy"
3/18/17,5,"I would definitely recommend Audi Macclesfield, everyone was very helpful in my making a decision for my new car. The whole process of changing my car was made very easy and hassle free. Thank you to Jonathan for helping me."
3/18/17,5,Great service. Knew exactly what I wanted and didn't try to sell me anything else other than that. Friendly people. Efficient service.
3/17/17,5,"We went with no appointment, but a salesman still sore us even though they were all booked up as there was a special event on. We found a car in the showroom that I loved only to find that it had been sold and the colour had been discontinued, the salesman gave us a car to take out on a test drive and said while we were gone he would get on the phone and see what he could do. When we got back we were told that they had found one. We picked up our new car today and would like to say thanks to Alex T. for going the extra mile for us. Would recommend them to any one"
3/17/17,5,"After a poor experience at durham bmw i was told to try the Teeside showroom by family and friends,the difference was like night and day.
Me and my wife were greeted warmly on arrival and all the staff smiled and spoke,after listening to our needs and questions a deal was soon in place which beat the other dealership hands down,how two showrooms for the same company can be so different is amazing.
Cooper bmw Teeside is first class from start to finish and Nathan who we dealt with was an absolute star and a real credit to you,when we are due to change vehicles there is only one place we will be going."
3/17/17,5,"Replacement rear light fitted while I waited. Booking a slot was easy. Staff were helpful, courteous and professional."
3/17/17,5,"Five star service from Audi Canterbury and a big thanks to Ben hodges for his first class service
And the way he conducted the purchase of my new car thanks a lot Audi Canterbury,and the coffee
Was great to regards g Clarke"
3/17/17,5,"Excellent customer service, all of the staff were polite and professional. Thank you to Mr Stuart Wolfendale for your help during the selection and purchase of my new vehicle."
3/17/17,5,"Inchcape Volkswagen Bromborough Wirral have yet again delivered excellent after sales service. My Golf required had an intermittent fault about twice a week the alarm would start after driving approx 200yds. The fault was diagnosed as the key needed replacing. New keys were ordered and programmed. I was kept informed throughout the process.
I have been using this dealership for 9 years and have never been let down or disappointed with service I have received."
3/17/17,5,"I was initially impressed by the honest and no-nonsense approach of the sales executive, Carl. The VW garage was 125 miles away so I had to be very sure about the car. Carl's communication system was excellent: phone calls, emails and short videos; all very clear and no sales pressure.
When I eventually went to pick up the car and complete the deal I was very impressed with the organisation, the smoothness and the efficient manner in which it happened. I was more than happy with the experience when I drove away in my brand new Golf. Cheers Carl and Inchscape. J."
3/17/17,5,"Very happy with the approach, service and deal!"
