Date of Exp,Star Rating,Reviews
12/7/17,5,Excellent service. The salesman was very friendly and the car was as described and competitively priced.
12/7/17,2,"BMW Croydon -Nice showroom and staff are pleasant BUT ......took car in to swap summer wheels for winter with prearranged appointment. Arrived late to collect car and still had to wait 45 minutes BUT WORSE was that it was released with tyre pressures of 28lbs,26lbs,25lbs and 27lbs. They should be 35/36lbs each !. The car warning light came up. Phoned next morning at 9.30am ,said they would call me back. Nothing. I called them back at 12.30when they admitted they were at fault. Bring the car back. NOT A GOOD EXPERIENCE.
I remember when I bought the car that my criticism was that people never returned calls.....so nothing has changed there."
12/7/17,5,I have been buying cars and having them serviced by Inchcape VW for very many years. I have always found them to be first rate.
12/7/17,5,"Excellent service every time, car valeted, paperwork all ready when come to collect vehicle - no issues and will recommend"
12/7/17,4,"excellent service from Ellesmere Port branch ,"
12/7/17,5,"Great service and lovely people to deal with. They actually fitted two tyres cheaper than anyone else and fixed a puncture in a rear tyre. I was told its not possible to repair by a well known tyre company in Nottingham, who shall remain nameless."
12/7/17,5,"nothing too much trouble, very pleasing experience from start to finish."
12/7/17,4,"My car required a repair to a broken Tail Light, Software Update and a service. I dropped of the car and, during the day, I was provided with regular text progress updates. When I returned to pick up my car, I was advised that although the Software Update and Service were completed, the replacement Tail Light was received damaged and that a replacement was ordered. The Sales Assistant promptly arranged for my car to be picked the following day and repairs were completed. Although disappointing, the Sales Assistant and the Mechanics did a great job sorting out the problem and completing the repairs and the car was returned in clean condition."
12/7/17,5,Excellent service and a B service well done.
12/7/17,5,"Booked in for a service I turned up earlier than my appointment
No trouble
As I waited for the service to be done received a text message with a film from the technician explaining health check on the car
Car washed and vacuumed
Excellent service
Thank you Tony"
12/6/17,5,Great staff with great deals and prices. Makes your experience so much easy. Highly recommended. Excellent service provided by Martin in Sales team. Thanks for all the help !!
12/6/17,5,The Team at MB Coventry are amazing and always look after our Mercedes Benz. A Special Thanks to Mr Sunny Rakhra and Leanna both who always go out of there way to do a professional and friendly job on our cars. Keep up the fantastic work!
12/6/17,5,"Smart, attentive, helpful staff, very pleasant surroundings, complementary coffee and pastries - (and the coffee was very good, too!). Very helpful feedback concerning a recent accident repair, and a very competent service. Car was nicely washed and vacuumed, too. Great service, and great staff (Cars are EXCELLENT, too!!)"
12/6/17,5,Absolutely fantastic service by all staff. Thank you!
12/6/17,5,I would like to thank Ellie Farrell for her help with my recent visit. She was very professional in everything she did for me and is an asset to Cooper BMW. Whilst there was a few issues in receiving the part required she was upfront and honest with the problem and got it sorted for me. Thanks again.
12/6/17,4,"Winter health check and car valet carried out on my Mercedes C200 at Stratford on 5/12/2017. Greeting by reception excellent, all work completed quickly on time and car returned in clean condition. However I have the following comments:
1. I was advised there were no problems identified during the check but the quality documentation stated the wipers were smearing the screen and had a red warning highlighter. I was advised it was not drawn to my attention as it was a standard statement on every report! I now have to make a return journey to Stratford to get new wipers fitted.
2. Car valet does not include cleaning the rear boot space."
12/6/17,5,Really well looked after and the updates and communication was excellent. I felt really well looked after all the way through. A special mention to Gabrielle who had such patience and calmness - first class.
12/6/17,4,"great service, felt well taken care of - only reason it's not a 5 star is that it did take quite a bit longer for the work to be carried out"
12/6/17,5,My C220 CDi was serviced and MOT tested without any problems and the car was ready for collection at the time specified. The car was washed and presented to me looking immaculate.
12/6/17,5,Very friendly staff and make feel welcome and fast services thank you
12/6/17,5,Annual service completed on time and as booked. Car nice and clean when picked up after service. Service rep. was very helpful.
12/6/17,5,"Once again the service from Inchcape Cheshire Oaks was outstanding.
From dropping off my car to picking it up I was kept aware of all issues,costs and how to proceed. The service and small repairs where carried out within the estimated time frame.
Phil who looked after me from the service team could not have been any more attentive, as are all the staff I have dealt with. A pleasure to deal with.
Thank you all."
12/6/17,4,"This was my first experience of a Mercedes Benz service. The process and the people were very friendly, as you would of course expect. They sent a video of the under-car inspection which was a nice touch, though loses a point because the background music drowned out what the mechanic was saying some of the time. Of course you pay for the quality of service, but it was good to be quoted a price that was stuck to and didn't find myself e.g. paying a fiver to have the windscreen washer fluid topped up, even though I'd done it the week before. I'd also rather have the ""free"" wash and vacuum as a priced option, as it's of course in the price somewhere.

Now I'm out of warranty, do I stick with MB, or go to a local specialist? Still working that one out tbh, but this was a decent start."
12/6/17,5,Efficient and liked the video showing our car service.
12/6/17,5,"Extremely rare to get such excellent service. Faultless in every way from solving problems to ensure the car passed MOT to servicing with clear communication of things to look out for.
Definitely no hesitation in recommending."
12/6/17,5,"I got the car I wanted with excellent, attentive service"
12/6/17,3,"very good, only minor issues my seat and steering wheel had been adjusted in every possible way? Locking nuts were left on the seat not put back in the boot, and the inside had not been cleaned properly."
12/6/17,5,"We left our car for service on 5/12/2017 and immediately found that the staff were not only extremely helpful but very efficient. The car was ready for the time we requested and Sharon had all the documentation ready when we arrived. She in particular was exceptional in the way we were dealt with.
Highly recommended."
12/6/17,5,"The timing was as expected & the staff I met were very good & helpful.
Thank you for some excellent service.
Eric Harris."
12/6/17,5,"Audi Q3 service seemed a bit pricey to be honest, I mentioned this when I delivered the car yesterday morning and I was told that it would be looked at. When I collected the car a few hours later 15% had been deducted. Great service by Audi Swindon, thanks."
12/6/17,5,"Cooper BMW Norwich. Took my 3 series estate in for first service on Wed 06 Dec 2017. Prompt, friendly and efficient service."
12/6/17,5,"The team are excellent!

Had a great experience when choosing our mini. Great showroom with first class sales service.

Thank you, Andy and the team."
12/6/17,5,Staff very friendly and helpful. I was made to feel very welcome at all times. Servicing of my vehicle was fully explained with quotation. No pressure was made to accept the quote. When the work was carried out and the vehicle was returned having been valeted inside and out. All very much appreciated.
12/6/17,5,Car went in for a national recall. Quick and efficient.
12/6/17,5,"I am extremely satisfied the service which I recieved. I found the staff very friendly, and curtios. I would seriosely recomend that branch for Customer Satisfaction!!"
12/6/17,5,"We came to Tetbury to purchase a 2014 Audi A1 and part exchange my Mercedes SLK. Audi Tetbury is a very smart dealership with very friendly staff. We were looked after by Will, nice guy, who took care of all the paperwork very efficiently. I was shown round the A1 which I had previously seen on the web site. It was immaculate. My husband John had an enjoyable test drive, while I had a second coffee and biscuits. . The transfer went off without a hitch and we drove away feeling very happy. A big thank you to Will and all the staff"
12/6/17,5,Excellent quick and friendly service from the parts counter.
12/6/17,5,"Excellent service provided by all staff from booking car into service and reception, tchnicians doing the car I would give 10/10 for first class service.

STEVE Beswick."
12/6/17,3,"This is the third time I have booked in for a service and requested a courtesy car well in advance.
This is the third time I have had issues with the allocation of a courtesy car. The same excuse offered every time “ a customer has not returned the courtesy car”
Not convinced, a really poor customer experience in this regard."
12/6/17,5,"Interim service, on time.
Appropriate heads-up on future wear & tear areas.
Loan car available as booked on-line.
First rate service from Paul Riddett as usual.
Car covered in usual winter grime but shiny clean on pick-up."
12/6/17,3,"Excellent service and pleasant friendly staff plus a much needed car wash thrown in for free.

However, don't fall for their ruse to try and get £15 out of you for use of a courtesy car. They ask you to bring your driving licence with you but conveniently omit to tell you to bring your insurance certificate. Without it, you have no option but to take out their £15 insurance. It's a bit of a scam really - whether intentional or not I don't know.

You have been warned!"
